sp,period,habitat,evolR,FAD,LAD,floodageMinHi,floodageMinLo,floodageMaxHi,floodageMaxLo,disO2ageMinHi,disO2ageMinLo,disO2ageMaxHi,disO2ageMaxLo,pcShallageMin,pcShallageMax,CO2ageMinHi,CO2ageMinLo,CO2ageMaxHi,CO2ageMaxLo,O2ageMinHi,O2ageMinLo,O2ageMaxHi,O2ageMaxLo,subFluxageMinHi,subFluxageMinLo,subFluxageMaxHi,subFluxageMaxLo,SLageMinHi,SLageMinLo,SLageMaxHi,SLageMaxLo,SSTageMinHi,SSTageMinLo,SSTageMaxHi,SSTageMaxLo
Rhaboderma_elegans,Upper_Carboniferous_(Namurian_A_Westphalian_D),freshwater,1.6037,330.9,303.7,81.54618421,71.36545679,71.62650695,71.10441658,297.2279332,196.6119183,352.5667331,242.6077944,17.93032892,15.82650315,796.226473,NA,1105.660434,403.7737669,26.41791025,23.13433003,29.92537333,25.97015022,1.858333486,1.824999384,1.358333088,1.3,143.8938177,118.4955743,173.0088657,142.0354154,16.21950976,13.78048559,22.80488151,17.56098049
Rhabdoderma_(?) newelli,Upper_Carboniferous_(Stephanian_B_Kasimovian),freshwater-brackish-marine,1.2251,307,303.7,74.49798907,69.01606505,71.62650695,71.10441658,337.4743281,231.8275071,352.5667331,242.6077944,14.77459026,15.82650315,1056.603864,305.6604824,1105.660434,403.7737669,29.4776133,25.89552165,29.92537333,25.97015022,1.349999881,1.3,1.358333088,1.3,176.7256702,145.1327604,173.0088657,142.0354154,24.51219563,18.53658922,22.80488151,17.56098049
Spermatodus_pustulosus,Lower_Permian_(Artinskian_Kazanian),,2.7254,290.1,283.5,77.63052135,68.23293447,74.75903923,72.40963753,420.841886,295.0718812,415.092405,293.6345041,16.59152971,16.35245868,1241.50942,724.5284531,1335.849034,886.7925597,38.35820815,33.0597021,40.22388112,33.50746355,1.524999781,1.449999642,1.474999901,1.42500002,119.734517,99.91150409,135.8407253,112.9203674,18.53658922,12.92683086,18.29268588,12.92683086
Coelacanthus_granulatus,Upper_Permian_(Guadaloupian),,2.2031,272.95,259.1,77.63052135,70.84337637,75.28111965,62.75100049,404.3121177,295.790556,348.2546292,272.7926043,15.15710354,15.87431662,1116.981159,433.9624144,1298.113189,192.4529461,40.7462683,32.76119493,40.82089545,32.31343348,1.491666316,1.458333486,1.591666713,1.524999781,165.5752329,137.0796444,75.75222705,63.36284694,20.48779739,14.99999767,22.19512547,20.73171004
Changxingia_aspratilis,Upper_Permian_(Changhsingian),marine ,1.2464,254.14,252.28,65.88353277,63.01205065,63.53413107,61.44577953,293.6345041,218.8911678,269.1991752,193.7371641,13.34016409,12.71857978,1683.018913,811.3208688,1724.528285,852.8302412,41.26865691,32.83582066,41.04477547,32.83582066,1.399999762,1.366666296,1.291666792,1.274999742,75.13274386,63.36284694,75.13274386,64.60176604,24.51219563,17.68292984,22.56097816,20.36585735
Changxingia_weii,Upper_Permian_(Changhsingian),marine ,1.2693,254.14,252.28,65.88353277,63.01205065,63.53413107,61.44577953,293.6345041,218.8911678,269.1991752,193.7371641,13.34016409,12.71857978,1683.018913,811.3208688,1724.528285,852.8302412,41.26865691,32.83582066,41.04477547,32.83582066,1.399999762,1.366666296,1.291666792,1.274999742,75.13274386,63.36284694,75.13274386,64.60176604,24.51219563,17.68292984,22.56097816,20.36585735
Youngichthys_xinghuainsis,Upper_Permian_(Changhsingian),marine ,1.8298,254.14,252.28,65.88353277,63.01205065,63.53413107,61.44577953,293.6345041,218.8911678,269.1991752,193.7371641,13.34016409,12.71857978,1683.018913,811.3208688,1724.528285,852.8302412,41.26865691,32.83582066,41.04477547,32.83582066,1.399999762,1.366666296,1.291666792,1.274999742,75.13274386,63.36284694,75.13274386,64.60176604,24.51219563,17.68292984,22.56097816,20.36585735
Piveteauia_madagascariensis,Lower_Triassic_(Induan),near-shore marine,1.1638,251.902,251.2,62.75100049,60.66264895,63.01205065,60.14055858,269.1991752,193.7371641,260.9683883,189.0316249,12.62295101,12.61570878,1724.528285,852.8302412,1705.172384,781.8964324,41.04477547,32.83582066,40.90255626,32.42012776,1.291666792,1.274999742,1.279116786,1.263052162,75.75222705,63.98230649,75.39131412,63.8260646,30,21.21951208,32.82420611,28.32852722
Whiteia_uyenoteruya,Lower_Triassic_(Induan),near-shore marine,1.3628,251.902,251.2,62.75100049,60.66264895,63.01205065,60.14055858,269.1991752,193.7371641,260.9683883,189.0316249,12.62295101,12.61570878,1724.528285,852.8302412,1705.172384,781.8964324,41.04477547,32.83582066,40.90255626,32.42012776,1.291666792,1.274999742,1.279116786,1.263052162,75.75222705,63.98230649,75.39131412,63.8260646,30,21.21951208,32.82420611,28.32852722
Whiteia_woodwardi,Lower_Triassic_(Induan),near-shore marine,1.4048,251.902,251.2,62.75100049,60.66264895,63.01205065,60.14055858,269.1991752,193.7371641,260.9683883,189.0316249,12.62295101,12.61570878,1724.528285,852.8302412,1705.172384,781.8964324,41.04477547,32.83582066,40.90255626,32.42012776,1.291666792,1.274999742,1.279116786,1.263052162,75.75222705,63.98230649,75.39131412,63.8260646,30,21.21951208,32.82420611,28.32852722
Laugia_groenlandica,Lower_Triassic_(Griesbachian),delta,1.775,251.902,250.5,62.75100049,60.66264895,62.22891011,59.87951837,269.1991752,193.7371641,253.3597039,180.7312514,12.62295101,12.61570878,1724.528285,852.8302412,1694.569999,753.8462136,41.04477547,32.83582066,40.75878575,31.98881761,1.291666792,1.274999742,1.255020157,1.238956146,75.75222705,63.98230649,75.99995402,63.21737826,30,21.21951208,32.82420611,28.90489608
Sassenia_groenlandica,Lower_Triassic_(Griesbachian),delta,0.8956,251.902,250.5,62.75100049,60.66264895,62.22891011,59.87951837,269.1991752,193.7371641,253.3597039,180.7312514,12.62295101,12.61570878,1724.528285,852.8302412,1694.569999,753.8462136,41.04477547,32.83582066,40.75878575,31.98881761,1.291666792,1.274999742,1.255020157,1.238956146,75.75222705,63.98230649,75.99995402,63.21737826,30,21.21951208,32.82420611,28.90489608
Whiteia_nielseni,Lower_Triassic_(Griesbachian),delta,1.6735,251.902,250.5,62.75100049,60.66264895,62.22891011,59.87951837,269.1991752,193.7371641,253.3597039,180.7312514,12.62295101,12.61570878,1724.528285,852.8302412,1694.569999,753.8462136,41.04477547,32.83582066,40.75878575,31.98881761,1.291666792,1.274999742,1.255020157,1.238956146,75.75222705,63.98230649,75.99995402,63.21737826,30,21.21951208,32.82420611,28.90489608
Belemnocerca_prolata,Lower_Triassic_(early_Olenekian),marine ,1.6263,251.2,249.8666667,62.75100049,60.14055858,61.96786991,60.40160875,258.4188879,187.987683,244.7638738,172.8952917,12.47950875,12.62295101,1698.113237,826.4151206,1615.094348,732.075507,40.82089545,32.31343348,40.44776114,31.49253629,1.266666534,1.241666276,1.224999861,1.216666653,76.3716866,63.98230649,73.89382476,63.36284694,27.19511384,23.1707342,31.70731878,28.78048792
Rebellatrix_divaricerca,Lower_Triassic_(late_Induan-early_Olenekian),marine ,3.1467,251.434,249.8666667,62.75100049,60.66264895,61.96786991,60.40160875,258.4188879,189.4250601,244.7638738,172.8952917,12.62295101,12.62295101,1698.113237,822.6415936,1615.094348,732.075507,41.04477547,32.53731349,40.44776114,31.49253629,1.283332949,1.258333327,1.224999861,1.216666653,75.75222705,63.98230649,73.89382476,63.36284694,32.92683086,29.14634061,31.70731878,28.78048792
Whitea_durabilis,Lower_Triassic_(early_Olenekian),marine ,1.8654,251.2,249.8666667,62.75100049,60.14055858,61.96786991,60.40160875,258.4188879,187.987683,244.7638738,172.8952917,12.47950875,12.62295101,1698.113237,826.4151206,1615.094348,732.075507,40.82089545,32.31343348,40.44776114,31.49253629,1.266666534,1.241666276,1.224999861,1.216666653,76.3716866,63.98230649,73.89382476,63.36284694,27.19511384,23.1707342,31.70731878,28.78048792
Whitea_lepta,Lower_Triassic_(early_Olenekian),marine ,0.7565,251.2,249.8666667,62.75100049,60.14055858,61.96786991,60.40160875,258.4188879,187.987683,244.7638738,172.8952917,12.47950875,12.62295101,1698.113237,826.4151206,1615.094348,732.075507,40.82089545,32.31343348,40.44776114,31.49253629,1.266666534,1.241666276,1.224999861,1.216666653,76.3716866,63.98230649,73.89382476,63.36284694,27.19511384,23.1707342,31.70731878,28.78048792
Axelia_robusta,Lower_Triassic_(Olenekian_(Smithian)),marine,2.0569,251.2,247.2,62.75100049,60.14055858,61.7068297,59.357428,258.4188879,187.987683,230.3901574,155.6467662,12.47950875,13.38797939,1698.113237,826.4151206,1456.603768,347.1699987,40.82089545,32.31343348,39.40298536,30.14925334,1.266666534,1.241666276,1.208333446,1.199999603,76.3716866,63.98230649,67.69911107,56.54869733,27.19511384,23.1707342,26.82927045,23.90243959
Chaohuichthys_majiashanensis,Lower_Triassic_(Olenekian),marine ,0.9631,251.2,247.2,62.75100049,60.14055858,61.7068297,59.357428,258.4188879,187.987683,230.3901574,155.6467662,12.47950875,13.38797939,1698.113237,826.4151206,1456.603768,347.1699987,40.82089545,32.31343348,39.40298536,30.14925334,1.266666534,1.241666276,1.208333446,1.199999603,76.3716866,63.98230649,67.69911107,56.54869733,27.19511384,23.1707342,26.82927045,23.90243959
Dobrogeria_aegyssensis,Lower_Triassic_(early_Spathian_late_Olenekian),,3.0102,248.5333333,247.2,60.40160875,60.40160875,61.7068297,59.357428,240.4517424,164.9897313,230.3901574,155.6467662,12.86202203,13.38797939,1566.037777,562.2642025,1456.603768,347.1699987,39.62686537,30.67164195,39.40298536,30.14925334,1.199999603,1.183333188,1.208333446,1.199999603,71.41591565,59.64604235,67.69911107,56.54869733,29.26829461,27.19511384,26.82927045,23.90243959
Sassenia_tuberculata,Lower_Triassic_(Olenekian_(Smithian)),marine,1.7132,251.2,247.2,62.75100049,60.14055858,61.7068297,59.357428,258.4188879,187.987683,230.3901574,155.6467662,12.47950875,13.38797939,1698.113237,826.4151206,1456.603768,347.1699987,40.82089545,32.31343348,39.40298536,30.14925334,1.266666534,1.241666276,1.208333446,1.199999603,76.3716866,63.98230649,67.69911107,56.54869733,27.19511384,23.1707342,26.82927045,23.90243959
Wimania_sinuosa,Lower_Triassic_(Olenekian_(Smithian)),marine,1.7498,251.2,247.2,62.75100049,60.14055858,61.7068297,59.357428,258.4188879,187.987683,230.3901574,155.6467662,12.47950875,13.38797939,1698.113237,826.4151206,1456.603768,347.1699987,40.82089545,32.31343348,39.40298536,30.14925334,1.266666534,1.241666276,1.208333446,1.199999603,76.3716866,63.98230649,67.69911107,56.54869733,27.19511384,23.1707342,26.82927045,23.90243959
Sinocoelacanthus_fengshanensis,Lower_Triassic_(Spathian),marine,1.3393,249.2,246.83,61.96786991,60.40160875,63.01205065,59.09638779,241.9132259,168.0472942,230.3901574,155.6467662,12.6991144,13.38797939,1613.12204,599.0951228,1456.603768,347.1699987,40.33492767,31.22009484,39.40298536,30.14925334,1.217131518,1.201194897,1.208333446,1.199999603,75.60976671,63.41462183,67.69911107,56.54869733,31.2643639,28.50574578,26.82927045,23.90243959
