sp,period,habitat,evolR,FAD,LAD,disO2ageMinHi,disO2ageMinLo,disO2ageMaxHi,disO2ageMaxLo,pcShallageMin,pcShallageMax,CO2ageMinHi,CO2ageMinLo,CO2ageMaxHi,CO2ageMaxLo,O2ageMinHi,O2ageMinLo,O2ageMaxHi,O2ageMaxLo,subFluxageMinHi,subFluxageMinLo,subFluxageMaxHi,subFluxageMaxLo,SLageMinHi,SLageMinLo,SLageMaxHi,SLageMaxLo,SSTageMinHi,SSTageMinLo,SSTageMaxHi,SSTageMaxLo
Libys_polypterus,Upper_Jurassic_(early_Tithonian),marine ,2.7479,152.1,149.7333333,197.3320247,140.6126565,194.4558663,139.1170527,10.94670006,10.85382503,683.4615091,337.5966635,864.935555,599.0947429,30.21531182,24.18660276,30.37313336,24.5522387,1.519920016,1.464143363,1.574999662,1.500000159,173.7804865,140.243902,158.1416001,130.8849544,20.68965453,18.62068984,19.87804135,19.26828531
Macropoma_willemoesii,Upper_Jurassic_(early_Tithonian),marine ,1.5058,152.1,149.7333333,197.0414334,141.1242608,192.2090813,137.6725845,10.94395332,10.78908449,1008.546579,559.140802,1046.422019,471.4880006,30.21531182,24.18660276,30.37313336,24.61722366,1.519920016,1.464143363,1.559760656,1.48804799,169.5121893,140.243902,159.1463313,132.9268244,20.68965453,18.62068984,19.99999671,18.96551218
Undina_penicillata,Upper_Jurassic_(late_Kimmeridgian-early_Tithonian),marine ,0.7832,153.8333333,149.7333333,196.6403357,142.6877763,194.4558663,139.1170527,11.18852484,10.85382503,725.7364271,335.5117011,864.935555,599.0947429,30.14353984,24.04306154,30.37313336,24.5522387,1.496015997,1.43227073,1.574999662,1.500000159,182.317081,149.3902433,158.1416001,130.8849544,23.79309937,18.16091797,19.87804135,19.26828531
Mawsonia_soba,Lower_Cretaceous_(Barriasian-Barremian),marine ,1.6981,145,125,178.6447728,124.7433363,243.3264966,195.8932161,11.09289606,12.52732223,887.3825439,633.2922689,1017.314646,669.4418581,29.92537333,24.0298501,28.88059612,23.50746434,1.72499994,1.641666594,2.208333287,2.116666097,142.0354154,118.4955743,205.221235,168.0530947,21.58536943,14.75609898,21.09755343,20.60975604
Axelrodichthys_araripensis,Lower_Cretaceous_(late_Aptian),lagoonal-marine ,1.1238,117,113,267.7617981,208.1108805,276.3860334,213.1416867,15.9699454,14.87021903,1572.591241,770.7469902,1264.840003,835.8871441,31.11940198,25.67164163,31.64179058,26.04477594,1.916666574,1.866666057,1.866666057,1.816666812,207.6991205,166.8141756,174.867268,144.5132772,26.46341775,21.95122212,24.26829229,17.43902184
Mawsonia_brasiliensis,Lower_Cretaceous_(late_Aptian),lagoonal-marine ,1.4642,117,113,267.7617981,208.1108805,276.3860334,213.1416867,15.9699454,14.87021903,1572.591241,770.7469902,1264.840003,835.8871441,31.11940198,25.67164163,31.64179058,26.04477594,1.916666574,1.866666057,1.866666057,1.816666812,207.6991205,166.8141756,174.867268,144.5132772,26.46341775,21.95122212,24.26829229,17.43902184
Mawsonia_tegamensis ,Lower_Cretaceous_(limit_Aptian-Albian),fluvial-marine ,1.1927,117,108.8333333,267.7617981,208.1108805,281.4168396,221.765922,15.9699454,13.43579287,1572.591241,770.7469902,1259.4502,821.7307876,31.11940198,25.67164163,31.41791057,25.37313589,1.916666574,1.866666057,1.816666812,1.774999821,207.6991205,166.8141756,171.1504397,142.0354154,26.46341775,21.95122212,23.29268355,17.80487918
Axelrodichthys_maiseyi ,Lower_Cretaceous_(middle-late_Albian),marine ,1.4939,108.8333333,100.5,281.4168396,221.765922,262.7310193,219.6098701,13.43579287,13.14890836,1259.4502,821.7307876,1043.716208,774.045329,31.41791057,25.37313589,30.74626767,24.5522387,1.816666812,1.774999821,1.658333009,1.608333128,171.1504397,142.0354154,224.4247884,184.159303,23.29268355,17.80487918,25.12195167,23.1707342
Reidus_hilli,Lower_Cretaceous_(Albian),marine ,1.7167,113,100.5,276.3860334,213.1416867,262.7310193,219.6098701,14.87021903,13.14890836,1264.840003,835.8871441,1043.716208,774.045329,31.64179058,26.04477594,30.74626767,24.5522387,1.866666057,1.816666812,1.658333009,1.608333128,174.867268,144.5132772,224.4247884,184.159303,24.26829229,17.43902184,25.12195167,23.1707342
Axelrodichthys_lavocati,Upper_Cretaceous_(early-middle_Cenomanian),fluvial-delta,1.7382,100.5,96.1,262.7310193,219.6098701,249.0759777,213.1416867,13.14890836,14.39207698,1043.716208,774.045329,1320.020695,576.5073482,30.74626767,24.5522387,31.04477626,24.92537301,1.658333009,1.608333128,1.666666852,1.599999921,224.4247884,184.159303,225.6637311,184.159303,25.12195167,23.1707342,27.56097584,26.5853578
Macropomoides_orientalis,Upper_Cretaceous_(middle_Cenomanian),,1.6185,98.3,96.1,255.5441611,216.7351158,249.0759777,213.1416867,13.86612145,14.39207698,1057.172745,649.7274968,1320.020695,576.5073482,30.67164195,24.62686727,31.04477626,24.92537301,1.649999801,1.591666713,1.666666852,1.599999921,226.9026502,184.7787626,225.6637311,184.159303,28.04878253,25.85366171,27.56097584,26.5853578
Macropoma_lewesiensis,Upper_Cretaceous_(Cenomanian),marine ,0.5852,100.5,93.9,262.7310193,219.6098701,246.9199257,210.2669325,13.14890836,15.06147659,1043.716208,774.045329,1075.385088,392.5531968,30.74626767,24.5522387,31.94029917,26.34328453,1.658333009,1.608333128,1.67500006,1.616666336,224.4247884,184.159303,223.1858457,182.3009007,25.12195167,23.1707342,30.97560873,29.51219796
Macropoma_precursor,Upper_Cretaceous_(Cenomanian),marine ,1.0821,100.5,93.9,262.7310193,219.6098701,246.9199257,210.2669325,13.14890836,15.06147659,1043.716208,774.045329,1075.385088,392.5531968,30.74626767,24.5522387,31.94029917,26.34328453,1.658333009,1.608333128,1.67500006,1.616666336,224.4247884,184.159303,223.1858457,182.3009007,25.12195167,23.1707342,30.97560873,29.51219796
Mawsonia_gigas,Upper_Jurassic_Lower_Cretaceous_(Kimmeridgian-Cenomanian),marine,1.3634,157.3,93.9,191.7984336,138.5375632,246.9199257,210.2669325,13.0575029,15.06147659,1133.834354,479.6017682,1075.385088,392.5531968,29.76378,23.59842559,31.94029917,26.34328453,1.444881833,1.389763966,1.665354501,1.618109929,203.1409157,168.6757269,222.7504176,182.3429542,24.91329281,15.89595225,31.96531889,30
Axelrodichthys_megadromos,Upper_Cretaceous_(lower_Campanian),freshwater ,0.7214,83.6,79.76666667,258.4188879,216.7351158,272.0739295,231.8275071,17.59562912,18.88661303,983.1486628,473.6932503,966.4984828,479.8005336,32.9850721,26.64179027,33.20895497,26.71641884,1.566666455,1.524999781,1.483333108,1.458333486,288.849539,247.9646059,296.902655,262.8318715,24.14633363,19.39024396,18.41463522,15.97561106
Megalocoelacanthus_dobiei,Upper_Cretaceous_(late_Santonian_early_Maastrichian),marine ,0.9372,84.5,70.06666667,257.7002131,214.5790638,290.041075,250.5133548,16.92622951,14.77459026,958.2793572,465.6709103,433.0642603,258.3188002,32.9104478,26.56716454,32.46268635,25.67164163,1.583333506,1.566666455,1.608333128,1.583333506,285.1327462,239.9115135,146.3716795,114.7787224,27.92682853,24.26829229,16.46341775,16.21950976
Latimeria_chalumnae,extant,marine ,0.9252,13,0,279.6442814,238.1423086,279.9794625,240.4517424,8.893439687,9.610652771,612.023478,281.3495595,387.5564672,182.4374511,25.29850732,21.6417928,23.43283577,19.62686696,1.125000099,1.099999841,1,1,0.176980004,-3.539824577,0,-120.4877358,16.21950976,15.85366171,21.1,19.8
Latimeria_menadoensis,extant,marine ,1.3267,13,0,279.6442814,238.1423086,279.9794625,240.4517424,8.893439687,9.610652771,612.023478,281.3495595,387.5564672,182.4374511,25.29850732,21.6417928,23.43283577,19.62686696,1.125000099,1.099999841,1,1,0.176980004,-3.539824577,0,-120.4877358,16.21950976,15.85366171,21.1,19.8
